poi_id,poi_name,poi_type,address,lat,lng,description,vs_title,vs_addr,vs_tel,vs_lat,vs_lng,vs_content_id,vs_content_type,vs_firstimage,step2_status,step2_match_type,vs_admission_fee,vs_use_time,vs_holiday,vs_homepage,vs_foreign_languages,step2_detail_status,vs_matched,vs_admission_fee_text,vs_admission_fee_value,vs_admission_fee_free,vs_phone
POI_fc561e0aaa,Gahoedong (가회동),street,,,,,가회동성당,서울특별시 종로구 북촌로 57 (가회동),,37.5820858828,126.9846616856,2733967.0,12.0,http://tong.visitkorea.or.kr/cms/resource/09/3303909_image2_1.jpg,success,exact_kor,,"[주일미사]<br>
- 새벽미사 06:00<br>
- 교중미사 11:00<br>
- 학생미사18:00<br>
[토요일] 저녁 주일미사 18:00<br>
[평일미사]<br>
- 월요일 06:00<br>
※ 매주 월요일은 미사 후 성당 문 닫음<br>
- 화요일 19:00 <br>
- 수요일 10:00<br>
- 목요일 19:00<br>
- 금요일 10:00<br>
[유아세례] 매월 첫 번째 일요일 17:00",매주 월요일,https://gahoe.or.kr,,success,True,,,,
POI_090309503c,Jeongdok Public Library (정독도서관),tourist_spot,,,,,서울특별시교육청 정독도서관,서울특별시 종로구 북촌로5길 48,,37.5797611278,126.9832368815,1019294.0,14.0,http://tong.visitkorea.or.kr/cms/resource/66/3510466_image2_1.jpg,success,exact_kor,무료,,,http://jdlib.sen.go.kr,,success,True,무료,0.0,True,
POI_060add088f,Paik In-je’s House (백인제가옥),history,,,,,백인제가옥,서울특별시 종로구 북촌로7길 16 (가회동),,37.5804693948,126.9841423343,2481866.0,12.0,http://tong.visitkorea.or.kr/cms/resource/92/3096392_image2_1.jpg,success,exact_kor,,09:00~18:00 (입장마감 17:30),"매주 월요일 / 1월 1일<br>※ 단, 월요일이 공휴일인 경우 개관",https://museum.seoul.go.kr,['en'],success,True,,,,
POI_29267c709f,Donhwamun (Main Gate) (돈화문),tourist_spot,,,,,,,,,,,,,not_found,short_kor,,,,,,,False,,,,
POI_e39cf57c3e,Injeongmun Gate (인정문),tourist_spot,,,,,창덕궁 인정문,서울특별시 종로구 율곡로 99,,37.5787974932,126.9911806294,1604953.0,12.0,http://tong.visitkorea.or.kr/cms/resource/78/3384878_image2_1.JPG,success,exact_kor,,"[2월~5월] 09:00~18:00 (입장마감 17:00)<br>
[6월~8월] 09:00~18:30 (입장마감 17:30)<br>
[9월~10월] 09:00~18:00 (입장마감 17:00)<br>
[11월~1월] 09:00~17:30 (입장마감 16:30)","매주 월요일<br>※ 단, 정기휴일이 공휴일 및 대체공휴일과 겹칠 경우에는 개방하며, 그 다음의 첫 번째 비공휴일이 정기휴일",https://royal.khs.go.kr/,['en'],success,True,,,,
POI_48c2052829,Injeongjeon (Throne Hall) (인정전),history,,,,,창덕궁 낙선재,서울특별시 종로구 율곡로 99 (와룡동),,37.5777031595,126.9902446339,1604941.0,12.0,,success,palace_fallback:창덕궁,,"[2월~5월] 09:00~18:00 (입장마감 17:00)<br>
[6월~8월] 09:00~18:30 (입장마감 17:30)<br>
[9월~10월] 09:00~18:00 (입장마감 17:00)<br>
[11월~1월] 09:00~17:30 (입장마감 16:30)","매주 월요일<br>※ 단, 정기휴일이 공휴일 및 대체공휴일과 겹칠 경우에는 개방하며, 그 다음의 첫 번째 비공휴일이 정기휴일임",https://royal.khs.go.kr,['en'],success,True,,,,
POI_25c2ad5ff5,Seonjeongjeon (Hall) (선정전),history,,,,,,,,,,,,,not_found,short_kor,,,,,,,False,,,,
POI_eb3580a1ab,Huijeongdang (King’s Private Residence /King's Conference Hall) (희정당),history,,,,,창덕궁 낙선재,서울특별시 종로구 율곡로 99 (와룡동),,37.5777031595,126.9902446339,1604941.0,12.0,,success,palace_fallback:창덕궁,,"[2월~5월] 09:00~18:00 (입장마감 17:00)<br>
[6월~8월] 09:00~18:30 (입장마감 17:30)<br>
[9월~10월] 09:00~18:00 (입장마감 17:00)<br>
[11월~1월] 09:00~17:30 (입장마감 16:30)","매주 월요일<br>※ 단, 정기휴일이 공휴일 및 대체공휴일과 겹칠 경우에는 개방하며, 그 다음의 첫 번째 비공휴일이 정기휴일임",https://royal.khs.go.kr,['en'],success,True,,,,
POI_044fbf1ae7,Daejojeon (Hall) (대조전),history,,,,,,,,,,,,,not_found,short_kor,,,,,,,False,,,,
POI_bf46f31ce1,Nakseonjae (Pavilion) (낙선재),history,,,,,창덕궁 낙선재,서울특별시 종로구 율곡로 99 (와룡동),,37.5777031595,126.9902446339,1604941.0,12.0,,success,palace_fallback:창덕궁,,"[2월~5월] 09:00~18:00 (입장마감 17:00)<br>
[6월~8월] 09:00~18:30 (입장마감 17:30)<br>
[9월~10월] 09:00~18:00 (입장마감 17:00)<br>
[11월~1월] 09:00~17:30 (입장마감 16:30)","매주 월요일<br>※ 단, 정기휴일이 공휴일 및 대체공휴일과 겹칠 경우에는 개방하며, 그 다음의 첫 번째 비공휴일이 정기휴일임",https://royal.khs.go.kr,['en'],success,True,,,,
POI_1769f35b3c,Changgyeonggung Palace (창경궁),history,,,,,창경궁,서울특별시 종로구 창경궁로 185 (와룡동),,37.5789336838,126.9964634775,126511.0,12.0,http://tong.visitkorea.or.kr/cms/resource/94/3536794_image2_1.jpg,success,exact_kor,,09:00~21:00 (입장마감 20:00),"매주 월요일<br>※ 단, 정기휴일이 공휴일 및 대체공휴일과 겹칠 경우에는 개방하며, 그 다음의 첫 번째 비공휴일이 정기휴일임",https://royal.khs.go.kr,['en'],success,True,,,,
POI_bad364b55d,Cheonggye Plaza (청계광장),tourist_spot,,,,,청계광장,서울특별시 중구 태평로1가 1,,37.569153924,126.9775154812,2765510.0,12.0,http://tong.visitkorea.or.kr/cms/resource/55/3385055_image2_1.JPG,success,exact_kor,,상시 개방,연중무휴,https://sisul.or.kr/open_content/cheonggye,,success,True,,,,
POI_202135d029,Gwangtonggyo (광통교),history,,,,,광통교,서울특별시 종로구 서린동,,37.5691539885,126.9811151529,3094518.0,12.0,http://tong.visitkorea.or.kr/cms/resource/11/3094511_image2_1.jpg,success,exact_kor,,상시 개방,연중무휴,,['en'],success,True,,,,
POI_751f8984b4,Samilgyo (삼일교),tourist_spot,,,,,,,,,,,,,not_found,,,,,,,,False,,,,
POI_604873af25,Supyogyo (수표교),history,,,,,,,,,,,,,not_found,,,,,,['en'],,False,,,,
POI_361be48b89,Saebyeokdari (새벽다리),tourist_spot,,,,,,,,,,,,,not_found,,,,,,,,False,,,,
POI_028018c13d,Gwangjang Market (광장시장),shopping,,,,,광장시장,서울특별시 종로구 창경궁로 88,,37.5701653166,126.9997217621,132183.0,38.0,http://tong.visitkorea.or.kr/cms/resource/81/2668981_image2_1.jpg,success,exact_kor,,점포 별로 상이함,,http://www.kwangjangmarket.co.kr,,success,True,,,,
POI_5a685d9a88,Daehanmun Gate (대한문),tourist_spot,,,,,덕수궁 대한문,서울특별시 중구 세종대로 99 (정동),,37.5651071556,126.9765906796,1605981.0,12.0,http://tong.visitkorea.or.kr/cms/resource/91/3384991_image2_1.JPG,success,exact_kor,,"[일반관람] 09:00~21:00 (입장마감 20:00)<br>
[전시관]<br>
- 석조전 09:30~17:30 (마지막 해설 16:30)<br>
- 돈덕전 09:00~17:30 (입장마감 17:00)<br>
- 중명전	09:30~17:30(입장마감 17:00)","매주 월요일<br>※ 단, 정기휴일이 공휴일 및 대체공휴일과 겹칠 경우에는 개방하며, 그 다음의 첫 번째 비공휴일이 정기휴일임",https://royal.khs.go.kr/,['en'],success,True,,,,
POI_b7e6be0dec,Junghwamun Gate (중화문),tourist_spot,,,,,,,,,,,,,not_found,short_kor,,,,,,,False,,,,
POI_bb7f045c00,Junghwajeon Hall (중화전),tourist_spot,,,,,,,,,,,,,not_found,short_kor,,,,,,,False,,,,
POI_e9e0d676a7,Seokeodang (석어당),tourist_spot,,,,,국립현대미술관 덕수궁,서울특별시 중구 세종대로 99,,37.5657876002,126.9748047119,130173.0,14.0,http://tong.visitkorea.or.kr/cms/resource/04/2991504_image2_1.jpg,success,palace_fallback:덕수궁,관람료의 경우 전시에 따라 달라질 수 있음으로 자세한 안내는 전시 소개 페이지 참고<br>※ 덕수궁 관람료는 별도<br>※ 무료관람 : 수요일/토요일 야간개장 무료 관람 시간 (18:00~21:00) / 매월 마지막 수요일 문화가 있는 날,,,국립현대미술관 http://www.mmca.go.kr,['en'],success,True,관람료의 경우 전시에 따라 달라질 수 있음으로 자세한 안내는 전시 소개 페이지 참고<br>※ 덕수궁 관람료는 별도<br>※ 무료관람 : 수요일/토요일 야간개장 무료 관람 시간 (18:00~21:00) / 매월 마지막 수요일 문화가 있는 날,0.0,True,
POI_6a38291967,Deokhongjeon (덕홍전),tourist_spot,,,,,국립현대미술관 덕수궁,서울특별시 중구 세종대로 99,,37.5657876002,126.9748047119,130173.0,14.0,http://tong.visitkorea.or.kr/cms/resource/04/2991504_image2_1.jpg,success,palace_fallback:덕수궁,관람료의 경우 전시에 따라 달라질 수 있음으로 자세한 안내는 전시 소개 페이지 참고<br>※ 덕수궁 관람료는 별도<br>※ 무료관람 : 수요일/토요일 야간개장 무료 관람 시간 (18:00~21:00) / 매월 마지막 수요일 문화가 있는 날,,,국립현대미술관 http://www.mmca.go.kr,['en'],success,True,관람료의 경우 전시에 따라 달라질 수 있음으로 자세한 안내는 전시 소개 페이지 참고<br>※ 덕수궁 관람료는 별도<br>※ 무료관람 : 수요일/토요일 야간개장 무료 관람 시간 (18:00~21:00) / 매월 마지막 수요일 문화가 있는 날,0.0,True,
POI_a07169c796,Hamnyeongjeon (함녕전),tourist_spot,,,,,국립현대미술관 덕수궁,서울특별시 중구 세종대로 99,,37.5657876002,126.9748047119,130173.0,14.0,http://tong.visitkorea.or.kr/cms/resource/04/2991504_image2_1.jpg,success,palace_fallback:덕수궁,관람료의 경우 전시에 따라 달라질 수 있음으로 자세한 안내는 전시 소개 페이지 참고<br>※ 덕수궁 관람료는 별도<br>※ 무료관람 : 수요일/토요일 야간개장 무료 관람 시간 (18:00~21:00) / 매월 마지막 수요일 문화가 있는 날,,,국립현대미술관 http://www.mmca.go.kr,['en'],success,True,관람료의 경우 전시에 따라 달라질 수 있음으로 자세한 안내는 전시 소개 페이지 참고<br>※ 덕수궁 관람료는 별도<br>※ 무료관람 : 수요일/토요일 야간개장 무료 관람 시간 (18:00~21:00) / 매월 마지막 수요일 문화가 있는 날,0.0,True,
POI_3e5a259453,Jeonggwanheon (정관헌),tourist_spot,,,,,국립현대미술관 덕수궁,서울특별시 중구 세종대로 99,,37.5657876002,126.9748047119,130173.0,14.0,http://tong.visitkorea.or.kr/cms/resource/04/2991504_image2_1.jpg,success,palace_fallback:덕수궁,관람료의 경우 전시에 따라 달라질 수 있음으로 자세한 안내는 전시 소개 페이지 참고<br>※ 덕수궁 관람료는 별도<br>※ 무료관람 : 수요일/토요일 야간개장 무료 관람 시간 (18:00~21:00) / 매월 마지막 수요일 문화가 있는 날,,,국립현대미술관 http://www.mmca.go.kr,['en'],success,True,관람료의 경우 전시에 따라 달라질 수 있음으로 자세한 안내는 전시 소개 페이지 참고<br>※ 덕수궁 관람료는 별도<br>※ 무료관람 : 수요일/토요일 야간개장 무료 관람 시간 (18:00~21:00) / 매월 마지막 수요일 문화가 있는 날,0.0,True,
POI_d9c9907039,Jeukjodang Hall (즉조당),tourist_spot,,,,,국립현대미술관 덕수궁,서울특별시 중구 세종대로 99,,37.5657876002,126.9748047119,130173.0,14.0,http://tong.visitkorea.or.kr/cms/resource/04/2991504_image2_1.jpg,success,palace_fallback:덕수궁,관람료의 경우 전시에 따라 달라질 수 있음으로 자세한 안내는 전시 소개 페이지 참고<br>※ 덕수궁 관람료는 별도<br>※ 무료관람 : 수요일/토요일 야간개장 무료 관람 시간 (18:00~21:00) / 매월 마지막 수요일 문화가 있는 날,,,국립현대미술관 http://www.mmca.go.kr,['en'],success,True,관람료의 경우 전시에 따라 달라질 수 있음으로 자세한 안내는 전시 소개 페이지 참고<br>※ 덕수궁 관람료는 별도<br>※ 무료관람 : 수요일/토요일 야간개장 무료 관람 시간 (18:00~21:00) / 매월 마지막 수요일 문화가 있는 날,0.0,True,
POI_cc78ca8b73,Junmyeongdang (준명당),tourist_spot,,,,,국립현대미술관 덕수궁,서울특별시 중구 세종대로 99,,37.5657876002,126.9748047119,130173.0,14.0,http://tong.visitkorea.or.kr/cms/resource/04/2991504_image2_1.jpg,success,palace_fallback:덕수궁,관람료의 경우 전시에 따라 달라질 수 있음으로 자세한 안내는 전시 소개 페이지 참고<br>※ 덕수궁 관람료는 별도<br>※ 무료관람 : 수요일/토요일 야간개장 무료 관람 시간 (18:00~21:00) / 매월 마지막 수요일 문화가 있는 날,,,국립현대미술관 http://www.mmca.go.kr,['en'],success,True,관람료의 경우 전시에 따라 달라질 수 있음으로 자세한 안내는 전시 소개 페이지 참고<br>※ 덕수궁 관람료는 별도<br>※ 무료관람 : 수요일/토요일 야간개장 무료 관람 시간 (18:00~21:00) / 매월 마지막 수요일 문화가 있는 날,0.0,True,
POI_347c7c8b05,Seokjojeon Hall (석조전),tourist_spot,,,,,국립현대미술관 덕수궁,서울특별시 중구 세종대로 99,,37.5657876002,126.9748047119,130173.0,14.0,http://tong.visitkorea.or.kr/cms/resource/04/2991504_image2_1.jpg,success,palace_fallback:덕수궁,관람료의 경우 전시에 따라 달라질 수 있음으로 자세한 안내는 전시 소개 페이지 참고<br>※ 덕수궁 관람료는 별도<br>※ 무료관람 : 수요일/토요일 야간개장 무료 관람 시간 (18:00~21:00) / 매월 마지막 수요일 문화가 있는 날,,,국립현대미술관 http://www.mmca.go.kr,['en'],success,True,관람료의 경우 전시에 따라 달라질 수 있음으로 자세한 안내는 전시 소개 페이지 참고<br>※ 덕수궁 관람료는 별도<br>※ 무료관람 : 수요일/토요일 야간개장 무료 관람 시간 (18:00~21:00) / 매월 마지막 수요일 문화가 있는 날,0.0,True,
POI_6a3c10042c,Jungmyeonjeon Hall (중명전),history,,,,,중명전,서울특별시 중구 정동길 41-11 (정동),,37.5667846662,126.9725521115,1017547.0,12.0,http://tong.visitkorea.or.kr/cms/resource/97/3578397_image2_1.jpg,success,exact_kor,,09:30~17:30 (입장 마감 17:00),매주 월요일,https://royal.khs.go.kr/ROYAL,['en'],success,True,,,,
POI_3e46054323,Hwangudan Altar (환구단),history,,,,,,,,,,,,,not_found,,,,,,['en'],,False,,,,
POI_a9eea5da69,Hamabi (하마비),history,,,,,,,,,,,,,not_found,,,,,,['en'],,False,,,,
POI_7add289099,Gwanghwamun Square (광화문광장),tourist_spot,,,,,광화문광장,서울특별시 종로구 세종대로 172,,37.5727035021,126.9769709861,775394.0,12.0,http://tong.visitkorea.or.kr/cms/resource/84/3589184_image2_1.jpg,success,exact_kor,,상시 개방,연중무휴,https://gwanghwamun.seoul.go.kr/main.do,,success,True,,,,
POI_4149c571c5,Sejong-daero Forest Road (세종대로 숲길),street,,,,,,,,,,,,,not_found,short_kor,,,,,,,False,,,,
POI_93dedd39c8,Seoul Plaza (서울광장),park,,,,,서울광장 스케이트장,서울특별시 중구 을지로 12 시청광장지하쇼핑센터,,37.5655015943,126.9787960237,663785.0,28.0,http://tong.visitkorea.or.kr/cms/resource/00/3043800_image2_1.jpg,success,exact_kor,,,,https://seoulskate.kr,,no_intro,True,,,,
POI_f543e386ef,Starting Point of Mile Posts (도로원표),tourist_spot,,,,,,,,,,,,,not_found,short_kor,,,,,,,False,,,,
POI_b3e4c9c32d,Seoul Metropolitan Council (서울특별시의회),tourist_spot,,,,,,,,,,,,,not_found,short_kor,,,,,,,False,,,,
POI_4a89f365a5,The 40th Anniversary Monument of Gojong’s Enthronement (고종황제 즉위 40주년 칭경예식 기념비),history,,,,,,,,,,,,,not_found,,,,,,['en'],,False,,,,
POI_7ef95e828a,Yangcheon Hyanggyo (양천향교),history,,,,,,,,,,,,,not_found,short_kor,,,,,,,False,,,,
POI_504bc01a8d,Gyeomjae Jeongseon Memorial Museum (겸재정선미술관),museum,,,,,,,,,,,,,not_found,,,,,,['en'],,False,,,,
POI_df7647eae4,Gungsan Trail (궁산둘레길),street,,,,,,,,,,,,,not_found,,,,,,,,False,,,,
POI_04f662004c,Soangnu Pavilion (소악루),tourist_spot,,,,,,,,,,,,,not_found,,,,,,,,False,,,,
POI_5c8c587637,Gwanghwamun (Main and South Gate) (광화문),tourist_spot,,,,,경복궁,서울특별시 종로구 사직로 161 (세종로),,37.5760836609,126.9767375783,126508.0,12.0,http://tong.visitkorea.or.kr/cms/resource/98/3487598_image2_1.jpg,success,palace_fallback:경복궁,,"[1월~2월/11월~12월]<br>
09:00~17:00 (입장마감 16:00)<br>
[3월~5월/9월~10월]<br>
09:00~18:00 (입장마감 17:00)<br>
[6월~8월] 09:00~18:30 (입장마감 17:30)","매주 화요일 <br>※ 단, 정기휴일이 공휴일 및 대체공휴일과 겹칠 경우에는 개방하며, 그 다음의 첫 번째 비공휴일이 정기휴일임",https://royal.khs.go.kr/,['en'],success,True,,,,
POI_3bdabdcd9e,Heungnyemun (Second Inner Gate) (흥례문),tourist_spot,,,,,,,,,,,,,not_found,short_kor,,,,,,,False,,,,
POI_4c40868158,Geunjeongmun (Third Inner Gate) (근정문),tourist_spot,,,,,경복궁,서울특별시 종로구 사직로 161 (세종로),,37.5760836609,126.9767375783,126508.0,12.0,http://tong.visitkorea.or.kr/cms/resource/98/3487598_image2_1.jpg,success,palace_fallback:경복궁,,"[1월~2월/11월~12월]<br>
09:00~17:00 (입장마감 16:00)<br>
[3월~5월/9월~10월]<br>
09:00~18:00 (입장마감 17:00)<br>
[6월~8월] 09:00~18:30 (입장마감 17:30)","매주 화요일 <br>※ 단, 정기휴일이 공휴일 및 대체공휴일과 겹칠 경우에는 개방하며, 그 다음의 첫 번째 비공휴일이 정기휴일임",https://royal.khs.go.kr/,['en'],success,True,,,,
POI_8998de350d,Geunjeongjeon (Imperial Throne Hall) (근정전),history,,,,,경복궁,서울특별시 종로구 사직로 161 (세종로),,37.5760836609,126.9767375783,126508.0,12.0,http://tong.visitkorea.or.kr/cms/resource/98/3487598_image2_1.jpg,success,palace_fallback:경복궁,,"[1월~2월/11월~12월]<br>
09:00~17:00 (입장마감 16:00)<br>
[3월~5월/9월~10월]<br>
09:00~18:00 (입장마감 17:00)<br>
[6월~8월] 09:00~18:30 (입장마감 17:30)","매주 화요일 <br>※ 단, 정기휴일이 공휴일 및 대체공휴일과 겹칠 경우에는 개방하며, 그 다음의 첫 번째 비공휴일이 정기휴일임",https://royal.khs.go.kr/,['en'],success,True,,,,
POI_1144d0758c,Sajeongjeon (Executive Office) (사정전),history,,,,,경복궁,서울특별시 종로구 사직로 161 (세종로),,37.5760836609,126.9767375783,126508.0,12.0,http://tong.visitkorea.or.kr/cms/resource/98/3487598_image2_1.jpg,success,palace_fallback:경복궁,,"[1월~2월/11월~12월]<br>
09:00~17:00 (입장마감 16:00)<br>
[3월~5월/9월~10월]<br>
09:00~18:00 (입장마감 17:00)<br>
[6월~8월] 09:00~18:30 (입장마감 17:30)","매주 화요일 <br>※ 단, 정기휴일이 공휴일 및 대체공휴일과 겹칠 경우에는 개방하며, 그 다음의 첫 번째 비공휴일이 정기휴일임",https://royal.khs.go.kr/,['en'],success,True,,,,
POI_c33b244bf5,Gyeonghoeru (Royal Banquet Pavilion) (경회루),tourist_spot,,,,,,,,,,,,,not_found,short_kor,,,,,,,False,,,,
POI_3f5af2891a,Gangnyeongjeon (King's Quarters) (강녕전),history,,,,,,,,,,,,,not_found,short_kor,,,,,,,False,,,,
POI_009f2c908e,Gyotaejeon (Queen's Quarters) (교태전),history,,,,,,,,,,,,,not_found,short_kor,,,,,,,False,,,,
POI_5d65f68f65,Jagyeongjeon (Late Queen's Quarters) (자경전),history,,,,,경복궁,서울특별시 종로구 사직로 161 (세종로),,37.5760836609,126.9767375783,126508.0,12.0,http://tong.visitkorea.or.kr/cms/resource/98/3487598_image2_1.jpg,success,palace_fallback:경복궁,,"[1월~2월/11월~12월]<br>
09:00~17:00 (입장마감 16:00)<br>
[3월~5월/9월~10월]<br>
09:00~18:00 (입장마감 17:00)<br>
[6월~8월] 09:00~18:30 (입장마감 17:30)","매주 화요일 <br>※ 단, 정기휴일이 공휴일 및 대체공휴일과 겹칠 경우에는 개방하며, 그 다음의 첫 번째 비공휴일이 정기휴일임",https://royal.khs.go.kr/,['en'],success,True,,,,
POI_5b01ebfb66,Hyangwonjeong (Hyangwonjeong Pavilion) (향원정),tourist_spot,,,,,경복궁,서울특별시 종로구 사직로 161 (세종로),,37.5760836609,126.9767375783,126508.0,12.0,http://tong.visitkorea.or.kr/cms/resource/98/3487598_image2_1.jpg,success,palace_fallback:경복궁,,"[1월~2월/11월~12월]<br>
09:00~17:00 (입장마감 16:00)<br>
[3월~5월/9월~10월]<br>
09:00~18:00 (입장마감 17:00)<br>
[6월~8월] 09:00~18:30 (입장마감 17:30)","매주 화요일 <br>※ 단, 정기휴일이 공휴일 및 대체공휴일과 겹칠 경우에는 개방하며, 그 다음의 첫 번째 비공휴일이 정기휴일임",https://royal.khs.go.kr/,['en'],success,True,,,,
POI_4542392702,Dongsipjagak (동십자각),history,,,,,동십자각,서울특별시 종로구 삼청로 1,,37.576133703,126.9794373301,1603677.0,12.0,,success,exact_kor,,상시 개방,연중무휴,,['en'],success,True,,,,
POI_9163f5b1d7,"National Museum of Modern and Contemporary Art, Seoul (국립현대미술관 서울)",museum,,,,,국립현대미술관 서울,서울특별시 종로구 삼청로 30 (소격동),,37.5786500878,126.9800038741,1934593.0,14.0,http://tong.visitkorea.or.kr/cms/resource/02/2991502_image2_1.jpg,success,exact_kor,상설전시 무료입장<br>* 기획전시는 홈페이지참고,,,http://www.mmca.go.kr,['en'],success,True,상설전시 무료입장<br>* 기획전시는 홈페이지참고,0.0,True,
POI_f034158bda,Jongchinbu Government Office (종친부),history,,,,,,,,,,,,,not_found,,,,,,['en'],,False,,,,
POI_9ede4a2933,Cheong Wa Dae (청와대),tourist_spot,,,,,청와대 앞 코스 돌아보기,,,37.5756364926,126.9768570246,1952971.0,25.0,http://tong.visitkorea.or.kr/cms/resource/55/1568155_image2_1.jpg,success,exact_kor,,,,,,success,True,,,,
POI_a2e90b600c,Seonnongdan Altar (선농단),history,,,,,,,,,,,,,not_found,,,,,,['en'],,False,,,,
POI_02a9dbe7e6,Seonnongdan History & Culture Museum (선농단역사문화관),museum,,,,,,,,,,,,,not_found,,,,,,['en'],,False,,,,
POI_3a62b17498,Seoul Yangnyeongsi Market (서울약령시장),shopping,,,,,,,,,,,,,not_found,short_kor,,,,,,,False,,,,
POI_6af0dfdc5a,Seoul K-Medi Center (서울한방진흥센터),tourist_spot,,,,,,,,,,,,,not_found,short_kor,,,,,,,False,,,,
POI_7a75bac481,Gyeongdong Market (경동시장),shopping,,,,,,,,,,,,,not_found,short_kor,,,,,,,False,,,,
POI_b76937e8df,Tapgol Park (탑골공원),park,,,,,탑골공원 팔각정,서울특별시 종로구 종로 99 (종로2가),,37.5705539611,126.9886227626,1605933.0,12.0,http://tong.visitkorea.or.kr/cms/resource/19/3414019_image2_1.jpg,success,exact_kor,,"- 3월~10월 09:00~18:00<br>
- 11월~2월 09:00~17:00",연중무휴,https://www.heritage.go.kr,,success,True,,,,
POI_eb038001fd,Seungdong Church (승동교회),history,,,,,승동교회,서울특별시 종로구 인사동길 7-1 (인사동),,37.5712538383,126.9863146199,605445.0,12.0,http://tong.visitkorea.or.kr/cms/resource/62/3518362_image2_1.jpg,success,exact_kor,,"상시 개방<br>
※ 예배 시간은 홈페이지 참조",연중무휴,http://www.seungdong.or.kr,['en'],success,True,,,,
POI_28bf120a4c,Tong-in Store (통인가게),shopping,,,,,,,,,,,,,not_found,short_kor,,,,,,,False,,,,
POI_9abf6f7115,Myungsindang pilbang (명신당필방),shopping,,,,,,,,,,,,,not_found,,,,,,,,False,,,,
POI_5962f797e7,The Central Temple of Cheondogyo (천도교중앙대교당),history,,,,,,,,,,,,,not_found,short_kor,,,,,,,False,,,,
POI_4277d13dc3,Kyungin Museum of Fine Art (경인미술관),museum,,,,,,,,,,,,,not_found,,,,,,['en'],,False,,,,
POI_1fdd6b19eb,Napcheong Bronzeware (납청놋전),shopping,,,,,,,,,,,,,not_found,,,,,,,,False,,,,
POI_fca1a8ab1d,Ssamzie-gil (쌈지길),street,,,,,쌈지길,서울특별시 종로구 인사동길 44 (관훈동),,37.5743062352,126.9848674428,128553.0,12.0,http://tong.visitkorea.or.kr/cms/resource/72/3348672_image2_1.JPG,success,exact_kor,,10:30~20:30,연중무휴,https://www.instagram.com/ssamzigil_official,,success,True,,,,
POI_062ccd1034,Jogyesa(Temple) (조계사),history,,,,,,,,,,,,,not_found,short_kor,,,,,,,False,,,,
POI_56e9bdd18a,Bosingak (보신각),history,,,,,보신각터,서울특별시 종로구 종로 54,,37.5698150675,126.9835760212,126516.0,12.0,http://tong.visitkorea.or.kr/cms/resource/23/3568323_image2_1.jpg,success,exact_kor,,상시 개방,연중무휴,https://www.heritage.go.kr/,['en'],success,True,,,,
